image_id,file_name,ours_f1,ours_mean_iou,ours_precision,ours_recall,ours_fp,ours_fn,yolo_f1,yolo_mean_iou,yolo_precision,yolo_recall,yolo_fp,yolo_fn
300778,300778.TIF,0.956,0.885,0.946,0.967,5,3,0.946,0.842,0.917,0.978,8,2
300779,300779.TIF,0.920,0.891,0.920,0.920,2,2,0.836,0.868,0.767,0.920,7,2
300780,300780.TIF,0.923,0.878,0.889,0.960,3,1,0.923,0.842,0.889,0.960,3,1
300781,300781.TIF,0.958,0.869,0.958,0.958,4,4,0.944,0.837,0.920,0.968,8,3
300782,300782.TIF,0.897,0.892,1.000,0.813,0,23,0.897,0.869,1.000,0.813,0,23
300783,300783.TIF,0.840,0.892,1.000,0.725,0,38,0.840,0.871,1.000,0.725,0,38
300784,300784.TIF,0.916,0.854,0.959,0.877,4,13,0.903,0.825,0.930,0.877,7,13
300785,300785.TIF,0.946,0.857,0.960,0.932,4,7,0.906,0.850,0.920,0.893,8,11
300786,300786.TIF,0.938,0.872,0.923,0.952,5,3,0.947,0.855,0.912,0.984,6,1
300787,300787.TIF,1.000,0.871,1.000,1.000,0,0,1.000,0.826,1.000,1.000,0,0
300792,300792.TIF,0.922,0.864,0.981,0.869,1,8,0.933,0.841,0.949,0.918,3,5
300793,300793.TIF,0.911,0.843,0.944,0.879,3,7,0.875,0.844,0.907,0.845,5,9
300794,300794.TIF,0.898,0.862,0.978,0.830,2,18,0.899,0.863,0.967,0.840,3,17
300795,300795.TIF,0.926,0.879,0.940,0.913,4,6,0.938,0.850,0.895,0.986,8,1
300796,300796.TIF,0.892,0.886,0.933,0.854,5,12,0.931,0.853,0.961,0.902,3,8
300797,300797.TIF,0.888,0.883,0.950,0.833,5,19,0.879,0.851,0.940,0.825,6,20
300798,300798.TIF,0.956,0.886,0.970,0.942,3,6,0.936,0.853,0.950,0.922,5,8
300799,300799.TIF,0.921,0.878,0.930,0.912,7,9,0.911,0.852,0.920,0.902,8,10
300800,300800.TIF,0.930,0.895,0.914,0.946,5,3,0.929,0.859,0.929,0.929,4,4
300801,300801.TIF,0.861,0.853,0.829,0.895,7,4,0.865,0.838,0.889,0.842,4,6
300802,300802.TIF,0.917,0.881,0.902,0.932,6,4,0.893,0.854,0.871,0.915,8,5
300803,300803.TIF,0.906,0.892,0.960,0.857,4,16,0.925,0.861,0.980,0.875,2,14
300804,300804.TIF,0.939,0.875,1.000,0.885,0,13,0.930,0.866,0.990,0.876,1,14
300805,300805.TIF,0.947,0.881,0.990,0.908,1,10,0.938,0.854,0.980,0.899,2,11
300806,300806.TIF,0.928,0.885,0.970,0.890,3,12,0.909,0.860,0.950,0.872,5,14
300807,300807.TIF,0.912,0.882,0.980,0.852,2,17,0.902,0.854,0.970,0.843,3,18
300808,300808.TIF,0.885,0.880,1.000,0.794,0,26,0.885,0.859,1.000,0.794,0,26
300809,300809.TIF,0.981,0.861,1.000,0.962,0,2,0.972,0.828,0.963,0.981,2,1
300812,300812.TIF,0.000,0.000,0.000,0.000,0,1,0.000,0.000,0.000,0.000,0,1
300814,300814.TIF,0.000,0.000,0.000,0.000,0,1,0.000,0.000,0.000,0.000,0,1
300816,300816.TIF,0.971,0.856,0.944,1.000,1,0,0.875,0.854,0.933,0.824,1,3
300817,300817.TIF,0.895,0.881,0.944,0.850,1,3,0.850,0.823,0.850,0.850,3,3
300818,300818.TIF,0.921,0.860,0.967,0.879,1,4,0.921,0.811,0.967,0.879,1,4
300819,300819.TIF,0.922,0.881,0.965,0.883,3,11,0.928,0.843,0.966,0.894,3,10
300820,300820.TIF,0.919,0.887,0.970,0.874,3,14,0.891,0.862,0.940,0.847,6,17
300821,300821.TIF,0.900,0.870,0.900,0.900,5,5,0.898,0.860,0.917,0.880,4,6
300822,300822.TIF,0.931,0.854,0.900,0.964,3,1,0.816,0.898,0.952,0.714,1,8
300823,300823.TIF,0.875,0.859,0.814,0.946,8,2,0.883,0.843,0.850,0.919,6,3
300824,300824.TIF,0.944,0.879,0.914,0.977,8,2,0.907,0.867,0.865,0.954,13,4
300825,300825.TIF,0.924,0.877,0.912,0.936,7,5,0.912,0.858,0.890,0.936,9,5
300826,300826.TIF,0.939,0.894,0.928,0.951,6,4,0.917,0.866,0.885,0.951,10,4
300827,300827.TIF,0.941,0.880,0.960,0.923,4,8,0.922,0.850,0.940,0.904,6,10
300828,300828.TIF,0.931,0.876,0.940,0.922,6,8,0.931,0.849,0.940,0.922,6,8
300829,300829.TIF,0.960,0.881,0.924,1.000,7,0,0.927,0.838,0.883,0.976,11,2
300830,300830.TIF,0.966,0.869,0.977,0.955,2,4,0.934,0.843,0.904,0.966,9,3
300831,300831.TIF,0.920,0.885,0.920,0.920,2,2,0.926,0.847,0.862,1.000,4,0
300836,300836.TIF,0.667,0.930,1.000,0.500,0,1,0.667,0.930,1.000,0.500,0,1
300838,300838.TIF,1.000,0.876,1.000,1.000,0,0,0.800,0.873,1.000,0.667,0,4
300839,300839.TIF,1.000,0.945,1.000,1.000,0,0,1.000,0.938,1.000,1.000,0,0
300840,300840.TIF,1.000,0.871,1.000,1.000,0,0,0.857,0.853,1.000,0.750,0,1
300841,300841.TIF,0.992,0.880,0.983,1.000,1,0,0.931,0.861,0.947,0.915,3,5
300842,300842.TIF,0.947,0.866,0.900,1.000,4,0,0.849,0.843,0.838,0.861,6,5
300843,300843.TIF,0.667,0.853,0.647,0.688,6,5,0.800,0.871,0.857,0.750,2,4
300844,300844.TIF,0.942,0.882,0.915,0.970,6,2,0.941,0.849,0.928,0.955,5,3
300845,300845.TIF,0.818,0.883,0.789,0.849,12,8,0.865,0.843,0.828,0.906,10,5
300846,300846.TIF,0.881,0.870,0.863,0.900,10,7,0.890,0.835,0.855,0.929,11,5
300847,300847.TIF,0.910,0.876,0.930,0.892,5,8,0.887,0.861,0.870,0.905,10,7
300848,300848.TIF,0.956,0.878,0.962,0.950,3,4,0.957,0.829,0.951,0.963,4,3
300849,300849.TIF,0.924,0.876,0.938,0.910,6,9,0.930,0.845,0.930,0.930,7,7
300850,300850.TIF,0.951,0.885,0.980,0.925,2,8,0.951,0.863,0.980,0.925,2,8
300851,300851.TIF,0.959,0.882,0.940,0.979,6,2,0.918,0.852,0.900,0.938,10,6
300852,300852.TIF,0.920,0.880,0.908,0.932,7,5,0.889,0.847,0.861,0.919,11,6
300853,300853.TIF,0.857,0.866,0.750,1.000,1,0,0.750,0.885,0.600,1.000,2,0
300854,300854.TIF,0.000,0.000,0.000,0.000,0,2,0.500,0.800,0.500,0.500,1,1
300855,300855.TIF,0.000,0.000,0.000,0.000,0,2,0.667,0.742,1.000,0.500,0,1
300858,300858.TIF,0.975,0.881,0.975,0.975,1,1,0.962,0.843,0.974,0.950,1,2
300859,300859.TIF,0.955,0.888,0.913,1.000,2,0,0.905,0.853,0.905,0.905,2,2
300860,300860.TIF,0.667,0.931,0.600,0.750,2,1,0.889,0.862,0.800,1.000,1,0
300861,300861.TIF,0.857,0.921,0.750,1.000,1,0,1.000,0.880,1.000,1.000,0,0
300862,300862.TIF,1.000,0.891,1.000,1.000,0,0,1.000,0.856,1.000,1.000,0,0
300863,300863.TIF,0.992,0.878,1.000,0.984,0,1,0.893,0.850,0.915,0.871,5,8
300864,300864.TIF,0.951,0.876,0.975,0.929,1,3,0.821,0.857,0.889,0.762,4,10
300865,300865.TIF,0.881,0.856,0.881,0.881,7,7,0.857,0.833,0.906,0.814,5,11
300866,300866.TIF,0.922,0.860,0.942,0.903,4,7,0.887,0.831,0.900,0.875,7,9
300867,300867.TIF,0.820,0.873,0.862,0.781,4,7,0.812,0.841,0.812,0.812,6,6
300868,300868.TIF,0.974,0.880,1.000,0.949,0,4,0.926,0.859,0.904,0.949,8,4
300869,300869.TIF,0.942,0.859,0.970,0.915,3,9,0.903,0.843,0.930,0.877,7,13
300870,300870.TIF,0.917,0.875,0.917,0.917,5,5,0.817,0.852,0.817,0.817,11,11
300871,300871.TIF,0.935,0.868,0.915,0.956,8,4,0.878,0.830,0.838,0.922,16,7
300872,300872.TIF,0.924,0.877,0.910,0.938,9,6,0.893,0.841,0.880,0.907,12,9
300873,300873.TIF,0.957,0.879,0.957,0.957,4,4,0.937,0.852,0.918,0.957,8,4
300874,300874.TIF,0.959,0.882,0.973,0.947,2,4,0.959,0.858,0.986,0.933,1,5
300875,300875.TIF,1.000,0.817,1.000,1.000,0,0,1.000,0.852,1.000,1.000,0,0
300876,300876.TIF,0.667,0.861,1.000,0.500,0,1,0.000,0.000,0.000,0.000,0,2
300877,300877.TIF,0.800,0.724,0.667,1.000,1,0,0.000,0.000,0.000,0.000,0,2
300880,300880.TIF,0.963,0.883,0.978,0.948,2,5,0.942,0.841,0.947,0.938,5,6
300881,300881.TIF,0.963,0.884,1.000,0.929,0,3,0.938,0.855,0.974,0.905,1,4
300882,300882.TIF,1.000,0.805,1.000,1.000,0,0,1.000,0.817,1.000,1.000,0,0
300883,300883.TIF,0.833,0.858,0.714,1.000,2,0,1.000,0.786,1.000,1.000,0,0
300884,300884.TIF,0.929,0.885,0.923,0.935,6,5,0.935,0.853,0.935,0.935,5,5
300885,300885.TIF,0.942,0.878,0.980,0.907,2,10,0.923,0.852,0.960,0.889,4,12
300886,300886.TIF,0.919,0.888,0.919,0.919,7,7,0.895,0.850,0.853,0.942,14,5
300887,300887.TIF,0.958,0.873,0.963,0.952,3,4,0.958,0.842,0.963,0.952,3,4
300888,300888.TIF,0.971,0.903,1.000,0.943,0,2,0.986,0.851,1.000,0.971,0,1
300889,300889.TIF,0.927,0.870,0.919,0.934,5,4,0.943,0.841,0.935,0.951,4,3
300890,300890.TIF,0.929,0.863,0.919,0.940,7,5,0.921,0.839,0.872,0.976,12,2
300891,300891.TIF,0.956,0.869,0.962,0.950,3,4,0.908,0.852,0.892,0.925,9,6
300892,300892.TIF,0.956,0.872,0.956,0.956,4,4,0.928,0.850,0.923,0.933,7,6
300893,300893.TIF,0.919,0.873,0.929,0.908,6,8,0.943,0.834,0.943,0.943,5,5
300894,300894.TIF,0.946,0.872,0.960,0.932,4,7,0.936,0.840,0.950,0.922,5,8
300895,300895.TIF,0.913,0.881,0.907,0.919,7,6,0.901,0.854,0.883,0.919,9,6
300896,300896.TIF,0.935,0.857,0.956,0.915,2,4,0.917,0.841,0.898,0.936,5,3
300897,300897.TIF,0.857,0.925,0.750,1.000,1,0,1.000,0.918,1.000,1.000,0,0
300898,300898.TIF,0.667,0.846,1.000,0.500,0,1,0.500,0.723,0.500,0.500,1,1
300899,300899.TIF,0.667,0.764,1.000,0.500,0,1,0.000,0.000,0.000,0.000,0,2
300900,300900.TIF,1.000,0.888,1.000,1.000,0,0,1.000,0.899,1.000,1.000,0,0
300902,300902.TIF,0.949,0.873,0.974,0.925,1,3,0.949,0.840,0.974,0.925,1,3
300906,300906.TIF,0.939,0.873,0.925,0.954,5,3,0.923,0.844,0.923,0.923,5,5
300907,300907.TIF,0.951,0.870,0.980,0.925,2,8,0.942,0.856,0.970,0.915,3,9
300908,300908.TIF,0.908,0.886,0.865,0.955,10,3,0.883,0.859,0.821,0.955,14,3
300909,300909.TIF,0.911,0.887,0.891,0.932,5,3,0.897,0.860,0.907,0.886,4,5
300910,300910.TIF,0.905,0.864,0.905,0.905,6,6,0.952,0.831,0.967,0.937,2,4
300911,300911.TIF,0.905,0.852,0.910,0.900,8,9,0.939,0.822,0.944,0.933,5,6
300912,300912.TIF,0.911,0.847,0.932,0.891,3,5,0.925,0.834,0.915,0.935,4,3
300913,300913.TIF,0.976,0.864,0.976,0.976,1,1,0.902,0.840,0.902,0.902,4,4
300914,300914.TIF,0.957,0.877,0.990,0.925,1,8,0.957,0.850,0.990,0.925,1,8
300915,300915.TIF,0.970,0.853,0.970,0.970,3,3,0.949,0.839,0.949,0.949,5,5
300916,300916.TIF,0.933,0.860,0.933,0.933,6,6,0.891,0.829,0.918,0.867,7,12
300917,300917.TIF,0.947,0.866,0.968,0.928,3,7,0.918,0.840,0.918,0.918,8,8
300918,300918.TIF,0.940,0.866,0.966,0.915,3,8,0.897,0.831,0.870,0.926,13,7
300919,300919.TIF,0.959,0.873,0.983,0.935,1,4,0.929,0.861,0.908,0.952,6,3
300920,300920.TIF,0.895,0.872,0.919,0.872,3,5,0.919,0.823,0.971,0.872,1,5
300921,300921.TIF,1.000,0.891,1.000,1.000,0,0,0.952,0.832,1.000,0.909,0,1
300924,300924.TIF,0.976,0.841,1.000,0.952,0,1,1.000,0.877,1.000,1.000,0,0
300925,300925.TIF,0.667,0.923,0.500,1.000,1,0,1.000,0.866,1.000,1.000,0,0
300928,300928.TIF,0.953,0.879,0.986,0.922,1,6,0.940,0.834,0.959,0.922,3,6
300929,300929.TIF,0.949,0.873,0.974,0.925,2,6,0.955,0.848,0.974,0.938,2,5
300930,300930.TIF,0.886,0.874,0.951,0.830,2,8,0.876,0.857,0.929,0.830,3,8
300931,300931.TIF,0.936,0.879,0.978,0.898,1,5,0.926,0.850,0.957,0.898,2,5
300932,300932.TIF,0.939,0.872,0.964,0.915,2,5,0.914,0.852,0.930,0.898,4,6
300933,300933.TIF,0.934,0.855,0.990,0.884,1,13,0.915,0.838,0.970,0.866,3,15
300934,300934.TIF,0.867,0.848,0.961,0.790,2,13,0.824,0.819,0.860,0.790,8,13
300935,300935.TIF,0.813,0.845,0.929,0.722,2,10,0.825,0.827,0.963,0.722,1,10
300936,300936.TIF,0.879,0.873,0.938,0.826,5,16,0.859,0.840,0.859,0.859,13,13
300937,300937.TIF,0.920,0.869,0.980,0.867,2,15,0.911,0.836,0.970,0.858,3,16
300938,300938.TIF,0.909,0.887,1.000,0.833,0,20,0.873,0.861,0.960,0.800,4,24
300939,300939.TIF,0.925,0.874,0.990,0.868,1,15,0.925,0.843,0.990,0.868,1,15
300940,300940.TIF,0.965,0.861,0.976,0.954,2,4,0.943,0.842,0.943,0.943,5,5
300941,300941.TIF,0.961,0.893,0.987,0.937,1,5,0.968,0.862,0.974,0.962,2,3
300942,300942.TIF,0.953,0.881,0.932,0.976,3,1,0.930,0.859,0.909,0.952,4,2
300943,300943.TIF,0.909,0.867,1.000,0.833,0,2,0.917,0.826,0.917,0.917,1,1
300946,300946.TIF,1.000,0.889,1.000,1.000,0,0,1.000,0.844,1.000,1.000,0,0
300950,300950.TIF,0.965,0.876,0.976,0.953,1,2,0.965,0.826,0.976,0.953,1,2
300951,300951.TIF,0.970,0.870,0.988,0.953,1,4,0.941,0.830,0.952,0.930,4,6
300952,300952.TIF,0.987,0.869,0.987,0.987,1,1,0.942,0.847,0.948,0.936,4,5
300953,300953.TIF,0.880,0.856,0.880,0.880,3,3,0.863,0.817,0.846,0.880,4,3
300954,300954.TIF,0.846,0.843,0.786,0.917,3,1,0.545,0.815,0.600,0.500,4,6
300955,300955.TIF,0.921,0.877,0.906,0.935,6,4,0.951,0.841,0.967,0.935,2,4
300956,300956.TIF,0.967,0.860,0.989,0.946,1,5,0.933,0.833,0.955,0.913,4,8
300957,300957.TIF,0.898,0.877,0.929,0.868,6,12,0.870,0.845,0.860,0.879,13,11
300958,300958.TIF,0.922,0.888,1.000,0.855,0,17,0.922,0.860,1.000,0.855,0,17
300959,300959.TIF,0.902,0.873,0.970,0.843,3,18,0.884,0.851,0.950,0.826,5,20
300960,300960.TIF,0.930,0.871,1.000,0.870,0,15,0.912,0.843,0.980,0.852,2,17
300961,300961.TIF,0.966,0.882,1.000,0.935,0,7,0.966,0.848,1.000,0.935,0,7
300962,300962.TIF,0.971,0.871,0.990,0.952,1,5,0.922,0.855,0.940,0.904,6,10
300963,300963.TIF,0.953,0.889,0.944,0.962,3,2,0.917,0.859,0.893,0.943,6,3
300965,300965.TIF,1.000,0.887,1.000,1.000,0,0,1.000,0.910,1.000,1.000,0,0
300966,300966.TIF,1.000,0.870,1.000,1.000,0,0,1.000,0.894,1.000,1.000,0,0
300970,300970.TIF,0.667,0.886,0.667,0.667,1,1,0.800,0.830,1.000,0.667,0,1
300972,300972.TIF,0.889,0.857,0.909,0.870,2,3,0.917,0.801,0.880,0.957,3,1
300973,300973.TIF,0.937,0.872,0.947,0.927,5,7,0.928,0.839,0.918,0.938,8,6
300974,300974.TIF,0.948,0.886,1.000,0.901,0,11,0.919,0.856,0.970,0.874,3,14
300975,300975.TIF,0.916,0.876,0.942,0.891,3,6,0.944,0.853,0.962,0.927,2,4
300977,300977.TIF,1.000,0.859,1.000,1.000,0,0,1.000,0.817,1.000,1.000,0,0
300978,300978.TIF,0.968,0.876,0.968,0.968,2,2,0.960,0.843,0.968,0.952,2,3
300979,300979.TIF,0.918,0.872,0.947,0.891,5,11,0.896,0.843,0.900,0.891,10,11
300980,300980.TIF,0.919,0.881,0.970,0.874,3,14,0.919,0.845,0.970,0.874,3,14
300981,300981.TIF,0.867,0.875,0.980,0.778,2,28,0.867,0.854,0.980,0.778,2,28
300982,300982.TIF,0.880,0.889,0.990,0.792,1,26,0.889,0.856,1.000,0.800,0,25
300983,300983.TIF,0.903,0.888,0.980,0.838,2,19,0.912,0.856,0.990,0.846,1,18
300984,300984.TIF,0.881,0.893,1.000,0.787,0,27,0.863,0.869,0.980,0.772,2,29
300985,300985.TIF,0.949,0.869,0.970,0.929,2,5,0.943,0.853,0.943,0.943,4,4
300986,300986.TIF,0.909,0.831,1.000,0.833,0,1,0.909,0.793,1.000,0.833,0,1
300987,300987.TIF,1.000,0.817,1.000,1.000,0,0,1.000,0.809,1.000,1.000,0,0
300989,300989.TIF,0.667,0.876,1.000,0.500,0,1,0.667,0.814,1.000,0.500,0,1
300990,300990.TIF,1.000,0.845,1.000,1.000,0,0,1.000,0.763,1.000,1.000,0,0
300993,300993.TIF,1.000,0.866,1.000,1.000,0,0,1.000,0.884,1.000,1.000,0,0
300994,300994.TIF,0.952,0.875,1.000,0.909,0,2,0.930,0.815,0.952,0.909,1,2
300995,300995.TIF,0.890,0.875,0.970,0.822,3,21,0.899,0.844,0.980,0.831,2,20
300996,300996.TIF,0.941,0.874,0.960,0.923,4,8,0.912,0.832,0.930,0.894,7,11
300997,300997.TIF,0.967,0.869,1.000,0.937,0,5,0.961,0.838,0.987,0.937,1,5
300998,300998.TIF,0.800,0.874,1.000,0.667,0,2,0.800,0.807,1.000,0.667,0,2
310100,310100.TIF,0.943,0.882,0.961,0.925,3,6,0.942,0.839,0.973,0.912,2,7
310101,310101.TIF,0.982,0.878,1.000,0.966,0,1,0.964,0.862,1.000,0.931,0,2
310106,310106.TIF,1.000,0.704,1.000,1.000,0,0,0.500,0.614,0.333,1.000,2,0
310107,310107.TIF,1.000,0.907,1.000,1.000,0,0,0.545,0.849,0.500,0.600,3,2
310108,310108.TIF,0.667,0.866,0.500,1.000,3,0,0.750,0.907,0.600,1.000,2,0
310109,310109.TIF,0.750,0.832,0.600,1.000,4,0,0.833,0.923,0.833,0.833,1,1
310110,310110.TIF,1.000,0.944,1.000,1.000,0,0,1.000,0.919,1.000,1.000,0,0
310111,310111.TIF,0.962,0.873,0.962,0.962,1,1,0.902,0.840,0.920,0.885,2,3
310112,310112.TIF,0.842,0.832,0.889,0.800,3,6,0.836,0.847,0.920,0.767,2,7
310113,310113.TIF,0.896,0.830,0.968,0.833,1,6,0.706,0.799,0.750,0.667,8,12
310114,310114.TIF,0.867,0.876,0.897,0.839,3,5,0.806,0.849,0.806,0.806,6,6
310115,310115.TIF,0.842,0.907,0.800,0.889,2,1,0.889,0.883,0.889,0.889,1,1
310116,310116.TIF,0.889,0.816,1.000,0.800,0,1,0.667,0.917,0.750,0.600,1,2
310117,310117.TIF,0.933,0.897,0.977,0.894,1,5,0.913,0.846,0.933,0.894,3,5
310118,310118.TIF,0.969,0.879,1.000,0.939,0,2,0.985,0.843,1.000,0.970,0,1
310119,310119.TIF,0.874,0.859,0.849,0.900,8,5,0.824,0.836,0.808,0.840,10,8
310120,310120.TIF,0.846,0.896,0.917,0.786,1,3,0.786,0.841,0.786,0.786,3,3
310122,310122.TIF,0.571,0.915,0.500,0.667,2,1,0.571,0.930,0.500,0.667,2,1
310123,310123.TIF,0.833,0.901,0.833,0.833,1,1,0.857,0.850,0.750,1.000,2,0
310124,310124.TIF,0.857,0.922,0.750,1.000,2,0,0.800,0.939,1.000,0.667,0,2
310125,310125.TIF,0.720,0.885,0.643,0.818,5,2,0.727,0.883,0.727,0.727,3,3
310126,310126.TIF,0.952,0.901,1.000,0.909,0,1,0.870,0.902,0.833,0.909,2,1
310127,310127.TIF,0.867,0.915,0.812,0.929,3,1,0.813,0.898,0.722,0.929,5,1
310128,310128.TIF,0.955,0.885,0.970,0.941,2,4,0.912,0.845,0.912,0.912,6,6
310129,310129.TIF,0.917,0.889,1.000,0.847,0,18,0.917,0.862,1.000,0.847,0,18
310130,310130.TIF,0.856,0.895,0.980,0.760,2,31,0.865,0.866,0.990,0.767,1,30
310131,310131.TIF,0.923,0.882,0.960,0.889,4,12,0.942,0.861,0.980,0.907,2,10
310132,310132.TIF,0.867,0.883,0.867,0.867,6,6,0.899,0.863,0.909,0.889,4,5
310133,310133.TIF,0.750,0.879,0.750,0.750,7,7,0.667,0.876,1.000,0.500,0,14
310134,310134.TIF,0.889,0.826,0.941,0.842,1,3,0.914,0.820,1.000,0.842,0,3
310135,310135.TIF,1.000,0.870,1.000,1.000,0,0,1.000,0.820,1.000,1.000,0,0
310136,310136.TIF,0.698,0.877,0.833,0.600,3,10,0.784,0.769,0.769,0.800,6,5
310137,310137.TIF,0.800,0.884,0.909,0.714,1,4,0.720,0.823,0.818,0.643,2,5
310138,310138.TIF,0.857,0.919,1.000,0.750,0,1,0.667,0.950,1.000,0.500,0,2
310139,310139.TIF,0.667,0.852,0.615,0.727,5,3,0.667,0.885,0.700,0.636,3,4
310140,310140.TIF,0.966,0.892,0.933,1.000,1,0,0.923,0.902,1.000,0.857,0,2
310141,310141.TIF,1.000,0.913,1.000,1.000,0,0,0.909,0.919,1.000,0.833,0,2
310142,310142.TIF,0.875,0.907,0.875,0.875,1,1,0.933,0.899,1.000,0.875,0,1
310143,310143.TIF,0.978,0.907,0.957,1.000,1,0,1.000,0.879,1.000,1.000,0,0
310144,310144.TIF,0.927,0.899,0.884,0.974,5,1,0.907,0.847,0.830,1.000,8,0
310145,310145.TIF,0.928,0.895,0.960,0.897,4,11,0.899,0.855,0.930,0.869,7,14
310146,310146.TIF,0.912,0.892,0.990,0.846,1,18,0.903,0.857,0.980,0.838,2,19
310147,310147.TIF,0.890,0.906,0.970,0.822,3,21,0.881,0.864,0.960,0.814,4,22
310148,310148.TIF,0.946,0.889,0.946,0.946,5,5,0.935,0.865,0.945,0.925,5,7
310149,310149.TIF,0.897,0.878,0.953,0.847,3,11,0.865,0.844,0.884,0.847,8,11
310150,310150.TIF,0.864,0.891,0.927,0.809,3,9,0.857,0.864,0.973,0.766,1,11
310151,310151.TIF,0.942,0.870,0.980,0.907,1,5,0.893,0.838,0.939,0.852,3,8
310152,310152.TIF,0.900,0.869,0.931,0.871,2,4,0.918,0.830,0.933,0.903,2,3
310153,310153.TIF,0.800,0.906,0.667,1.000,1,0,0.800,0.935,0.667,1.000,1,0
310155,310155.TIF,0.667,0.701,1.000,0.500,0,1,0.667,0.626,1.000,0.500,0,1
310156,310156.TIF,0.818,0.845,0.818,0.818,2,2,0.700,0.839,0.778,0.636,2,4
310157,310157.TIF,0.947,0.888,0.900,1.000,1,0,1.000,0.900,1.000,1.000,0,0
310158,310158.TIF,0.833,0.907,0.882,0.789,2,4,0.857,0.894,0.938,0.789,1,4
310159,310159.TIF,0.872,0.863,0.895,0.850,2,3,0.857,0.865,1.000,0.750,0,5
310160,310160.TIF,0.953,0.910,0.981,0.927,1,4,0.945,0.868,0.945,0.945,3,3
310161,310161.TIF,0.945,0.896,0.989,0.904,1,10,0.931,0.856,0.950,0.913,5,9
310162,310162.TIF,0.950,0.890,0.979,0.922,2,8,0.926,0.857,0.940,0.913,6,9
310163,310163.TIF,0.908,0.900,1.000,0.832,0,16,0.910,0.848,0.976,0.853,2,14
310164,310164.TIF,0.905,0.896,1.000,0.826,0,21,0.878,0.854,0.970,0.802,3,24
310165,310165.TIF,0.948,0.900,1.000,0.901,0,11,0.938,0.874,0.990,0.892,1,12
310166,310166.TIF,0.986,0.909,0.986,0.986,1,1,0.972,0.889,0.972,0.972,2,2
310167,310167.TIF,0.984,0.910,1.000,0.969,0,1,0.923,0.885,0.909,0.938,3,2
310168,310168.TIF,0.923,0.903,0.889,0.960,3,1,0.923,0.859,0.889,0.960,3,1
310169,310169.TIF,0.968,0.871,0.938,1.000,1,0,0.938,0.853,0.882,1.000,2,0
310170,310170.TIF,0.800,0.877,0.667,1.000,1,0,1.000,0.795,1.000,1.000,0,0
310173,310173.TIF,0.833,0.883,0.833,0.833,1,1,0.667,0.859,0.667,0.667,2,2
310174,310174.TIF,1.000,0.890,1.000,1.000,0,0,0.833,0.878,1.000,0.714,0,2
310175,310175.TIF,1.000,0.908,1.000,1.000,0,0,0.923,0.935,1.000,0.857,0,1
310176,310176.TIF,0.920,0.875,0.976,0.870,1,6,0.884,0.832,0.950,0.826,2,8
310177,310177.TIF,0.944,0.892,1.000,0.894,0,11,0.931,0.856,0.950,0.913,5,9
310178,310178.TIF,0.930,0.909,1.000,0.870,0,15,0.921,0.868,0.990,0.861,1,16
310179,310179.TIF,0.866,0.909,1.000,0.763,0,31,0.866,0.874,1.000,0.763,0,31
310180,310180.TIF,0.944,0.898,0.979,0.912,2,9,0.939,0.850,0.979,0.902,2,10
310181,310181.TIF,0.835,0.912,0.990,0.723,1,38,0.827,0.878,0.980,0.715,2,39
310182,310182.TIF,0.959,0.889,0.979,0.940,1,3,0.950,0.851,0.941,0.960,3,2
310183,310183.TIF,1.000,0.895,1.000,1.000,0,0,0.957,0.918,1.000,0.917,0,1
310184,310184.TIF,0.870,0.883,0.833,0.909,2,1,0.737,0.833,0.875,0.636,1,4
310185,310185.TIF,0.737,0.901,0.778,0.700,2,3,0.471,0.914,0.571,0.400,3,6
310186,310186.TIF,0.750,0.895,1.000,0.600,0,2,0.750,0.929,1.000,0.600,0,2
310189,310189.TIF,0.909,0.868,0.833,1.000,1,0,0.750,0.803,1.000,0.600,0,2
310190,310190.TIF,0.609,0.833,0.609,0.609,9,9,0.571,0.839,0.833,0.435,2,13
310191,310191.TIF,0.800,0.840,0.857,0.750,2,4,0.815,0.825,1.000,0.688,0,5
310192,310192.TIF,0.896,0.848,0.909,0.882,3,4,0.737,0.831,0.913,0.618,2,13
310193,310193.TIF,0.949,0.904,1.000,0.903,0,6,0.932,0.863,0.982,0.887,1,7
310194,310194.TIF,0.927,0.900,0.965,0.892,3,10,0.941,0.843,0.936,0.946,6,5
310195,310195.TIF,0.931,0.883,0.964,0.900,3,9,0.932,0.829,0.953,0.911,4,8
310196,310196.TIF,0.949,0.898,0.979,0.922,2,8,0.911,0.861,0.920,0.902,8,10
310197,310197.TIF,0.946,0.904,1.000,0.898,0,11,0.952,0.860,0.990,0.917,1,9
310198,310198.TIF,0.909,0.896,1.000,0.833,0,20,0.900,0.868,0.990,0.825,1,21
310199,310199.TIF,0.897,0.887,0.929,0.867,2,4,0.929,0.830,1.000,0.867,0,4
310200,310200.TIF,0.909,0.844,0.833,1.000,1,0,1.000,0.859,1.000,1.000,0,0
310201,310201.TIF,1.000,0.928,1.000,1.000,0,0,1.000,0.855,1.000,1.000,0,0
310202,310202.TIF,1.000,0.925,1.000,1.000,0,0,0.769,0.837,0.714,0.833,2,1
310203,310203.TIF,1.000,0.947,1.000,1.000,0,0,1.000,0.963,1.000,1.000,0,0
310206,310206.TIF,0.545,0.841,0.375,1.000,5,0,0.500,0.768,0.400,0.667,3,1
310207,310207.TIF,0.588,0.777,0.500,0.714,5,2,0.429,0.879,0.429,0.429,4,4
