image_id,file_name,ours_f1,ours_mean_iou,ours_precision,ours_recall,ours_fp,ours_fn,yolo_f1,yolo_mean_iou,yolo_precision,yolo_recall,yolo_fp,yolo_fn
300474,300474.TIF,0.667,0.926,0.500,1.000,1,0,1.000,0.961,1.000,1.000,0,0
300484,300484.TIF,0.930,0.897,1.000,0.870,0,15,0.912,0.868,0.980,0.852,2,17
300485,300485.TIF,0.970,0.885,0.980,0.960,2,4,0.940,0.847,0.940,0.940,6,6
300486,300486.TIF,0.969,0.887,0.979,0.960,2,4,0.955,0.853,0.950,0.960,5,4
300487,300487.TIF,0.979,0.887,0.972,0.986,2,1,0.951,0.855,0.932,0.971,5,2
300488,300488.TIF,0.923,0.868,0.857,1.000,1,0,0.923,0.880,0.857,1.000,1,0
300489,300489.TIF,0.899,0.865,0.951,0.853,3,10,0.894,0.855,0.922,0.868,5,9
300490,300490.TIF,0.951,0.878,0.980,0.925,2,8,0.942,0.854,0.970,0.915,3,9
300491,300491.TIF,0.945,0.899,0.917,0.975,7,2,0.933,0.866,0.895,0.975,9,2
300492,300492.TIF,0.939,0.880,1.000,0.885,0,6,0.922,0.846,0.940,0.904,3,5
300493,300493.TIF,0.864,0.877,0.950,0.792,1,5,0.773,0.861,0.850,0.708,3,7
300494,300494.TIF,0.727,0.885,0.909,0.606,2,13,0.667,0.902,0.944,0.515,1,16
300495,300495.TIF,0.914,0.875,1.000,0.842,0,3,0.733,0.816,1.000,0.579,0,8
300496,300496.TIF,0.844,0.832,0.905,0.792,2,5,0.809,0.832,0.826,0.792,4,5
300497,300497.TIF,0.688,0.835,0.611,0.786,7,3,0.645,0.811,0.588,0.714,7,4
300498,300498.TIF,0.222,0.891,0.143,0.500,6,1,0.000,0.000,0.000,0.000,6,2
300506,300506.TIF,0.925,0.897,0.961,0.892,3,9,0.880,0.860,0.880,0.880,10,10
300507,300507.TIF,0.952,0.884,0.963,0.940,3,5,0.929,0.854,0.919,0.940,7,5
300508,300508.TIF,0.964,0.877,0.976,0.952,2,4,0.936,0.840,0.910,0.964,8,3
300509,300509.TIF,0.960,0.887,1.000,0.923,0,8,0.951,0.862,0.970,0.933,3,7
300510,300510.TIF,0.870,0.846,0.833,0.909,4,2,0.905,0.837,0.950,0.864,1,3
300511,300511.TIF,0.934,0.866,0.966,0.905,2,6,0.943,0.869,0.967,0.921,2,5
300512,300512.TIF,0.954,0.871,0.979,0.931,2,7,0.935,0.856,0.940,0.931,6,7
300513,300513.TIF,0.942,0.876,0.950,0.934,3,4,0.919,0.853,0.905,0.934,6,4
300514,300514.TIF,0.619,0.880,0.867,0.481,2,14,0.634,0.861,0.929,0.481,1,14
300515,300515.TIF,0.727,0.862,0.889,0.615,2,10,0.619,0.859,0.812,0.500,3,13
300516,300516.TIF,0.762,0.874,0.941,0.640,2,18,0.595,0.862,0.917,0.440,2,28
300517,300517.TIF,0.950,0.916,1.000,0.905,0,2,0.842,0.871,0.941,0.762,1,5
300518,300518.TIF,0.759,0.857,0.957,0.629,1,13,0.737,0.827,0.955,0.600,1,14
300519,300519.TIF,1.000,0.883,1.000,1.000,0,0,0.914,0.860,1.000,0.842,0,3
300520,300520.TIF,0.941,0.910,1.000,0.889,0,1,0.875,0.872,1.000,0.778,0,2
300521,300521.TIF,1.000,0.910,1.000,1.000,0,0,0.667,0.919,0.667,0.667,1,1
300528,300528.TIF,0.939,0.870,0.958,0.920,1,2,0.913,0.856,1.000,0.840,0,4
300529,300529.TIF,0.947,0.886,0.973,0.923,2,6,0.974,0.864,0.987,0.962,1,3
300530,300530.TIF,0.897,0.890,1.000,0.813,0,23,0.897,0.867,1.000,0.813,0,23
300531,300531.TIF,0.925,0.877,0.990,0.868,1,15,0.916,0.865,0.980,0.860,2,16
300532,300532.TIF,0.912,0.842,0.929,0.897,2,3,0.912,0.854,0.929,0.897,2,3
300533,300533.TIF,0.741,0.851,0.769,0.714,3,4,0.741,0.811,0.769,0.714,3,4
300534,300534.TIF,0.933,0.878,0.875,1.000,1,0,1.000,0.851,1.000,1.000,0,0
300535,300535.TIF,0.792,0.862,0.679,0.950,9,1,0.850,0.870,0.850,0.850,3,3
300536,300536.TIF,0.727,0.917,0.727,0.727,3,3,0.800,0.915,0.889,0.727,1,3
