============================================================
wait_then_launch_b0_r0 started at 2026-07-31 00:47:09
monitor_log=logs/ablations/wait_then_launch_b0_r0_20260731_004709.log
poll_seconds=60
plan: when no train_rsprompter process is alive, launch
  B0  -> CUDA_VISIBLE_DEVICES=0,1 (stride32)
  R0  -> CUDA_VISIBLE_DEVICES=2,3 (stride16)
============================================================
2026-07-31 02:02:14 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:03:14 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:04:14 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:05:14 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:06:14 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:07:14 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:08:14 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:09:14 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:10:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:11:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:12:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:13:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:14:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:15:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:16:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:17:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:18:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:19:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:20:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:21:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:22:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:23:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:24:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:25:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:26:15 - 30 train_rsprompter process(es) still running; sleeping 60s.
